STATION_CODE,PARAM,MYEAR,concentration,loq
10B,CB118,1994,109.5,Above LOQ
10B,CB118,1995,80,Above LOQ
10B,CB118,1996,33.5,Above LOQ
10B,CB118,1997,32,Above LOQ
10B,CB118,1998,31,Above LOQ
10B,CB118,1999,41.5,Above LOQ
10B,CB118,2000,15,Above LOQ
10B,CB118,2001,18,Above LOQ
10B,CB118,2002,27,Above LOQ
10B,CB118,2003,22,Above LOQ
10B,CB118,2004,21.5,Above LOQ
10B,CB118,2005,15,Below LOQ
10B,CB118,2006,16,Above LOQ
10B,CB118,2007,17,Above LOQ
10B,CB118,2008,12.5,Above LOQ
10B,CB118,2009,19.5,Above LOQ
10B,CB118,2010,11.5,Below LOQ
10B,CB118,2011,12.5,Above LOQ
10B,CB118,2012,16,Above LOQ
10B,CB118,2013,13,Above LOQ
10B,CB118,2014,9,Above LOQ
10B,CB118,2015,16,Above LOQ
10B,CB118,2016,13,Above LOQ
10B,CB118,2017,18.2,Above LOQ
10B,CB118,2018,11.55,Above LOQ
10B,CB118,2020,12.2,Above LOQ
10B,CB118,2021,9.305,Above LOQ
10B,CB118,2022,11.2,Above LOQ
10B,CD,1994,0.23,Above LOQ
10B,CD,1995,0.188,Above LOQ
10B,CD,1996,0.095,Above LOQ
10B,CD,1997,0.128,Above LOQ
10B,CD,1998,0.119,Above LOQ
10B,CD,1999,0.137,Above LOQ
10B,CD,2000,0.125,Above LOQ
10B,CD,2001,0.129,Above LOQ
10B,CD,2002,0.059,Above LOQ
10B,CD,2003,0.099,Above LOQ
10B,CD,2004,0.103,Above LOQ
10B,CD,2005,0.079,Above LOQ
10B,CD,2006,0.0779,Above LOQ
10B,CD,2007,0.082,Above LOQ
10B,CD,2008,0.092,Above LOQ
10B,CD,2009,0.06,Above LOQ
10B,CD,2010,0.083,Above LOQ
10B,CD,2011,0.102,Above LOQ
10B,CD,2012,0.081,Above LOQ
10B,CD,2013,0.074,Above LOQ
10B,CD,2014,0.053,Above LOQ
10B,CD,2015,0.12,Above LOQ
10B,CD,2016,0.11,Above LOQ
10B,CD,2017,0.21,Above LOQ
10B,CD,2018,0.19,Above LOQ
10B,CD,2020,0.098,Above LOQ
10B,CD,2021,0.135,Above LOQ
10B,CD,2022,0.13,Above LOQ
15B,CB118,1990,22,Below LOQ
15B,CB118,1991,45,Above LOQ
15B,CB118,1992,34,Above LOQ
15B,CB118,1993,26,Above LOQ
15B,CB118,1994,29,Above LOQ
15B,CB118,1995,34,Above LOQ
15B,CB118,1996,34.5,Above LOQ
15B,CB118,1997,44.5,Above LOQ
15B,CB118,1998,30,Above LOQ
15B,CB118,1999,30,Above LOQ
15B,CB118,2000,18,Above LOQ
15B,CB118,2001,40.5,Above LOQ
15B,CB118,2002,28.5,Above LOQ
15B,CB118,2003,27,Above LOQ
15B,CB118,2004,15,Below LOQ
15B,CB118,2005,24,Above LOQ
15B,CB118,2006,19,Above LOQ
15B,CB118,2007,20,Below LOQ
15B,CB118,2008,15,Above LOQ
15B,CB118,2009,13.5,Above LOQ
15B,CB118,2010,18,Above LOQ
15B,CB118,2011,17,Above LOQ
15B,CB118,2012,25,Above LOQ
15B,CB118,2013,19,Above LOQ
15B,CB118,2014,12,Above LOQ
15B,CB118,2015,11,Above LOQ
15B,CB118,2016,16,Above LOQ
15B,CB118,2017,14.4,Above LOQ
15B,CB118,2018,17.9,Above LOQ
15B,CB118,2019,9.58,Above LOQ
